1	5012
0	2246
1	1709
0	250
1	370
0	630
1	345
0	647
1	706
0	289
1	702
0	288
1	345
0	648
1	707
0	268
1	345
0	660
1	326
0	651
1	346
0	650
1	706
0	288
1	695
0	288
1	345
0	651
1	688
0	306
1	694
0	287
1	345
0	649
1	326
0	670
1	695
0	288
1	343
0	650
1	326
0	669
1	325
0	657
1	690
0	307
1	327
0	667
1	324
0	672
1	317
0	672
1	689
0	306
1	306
0	685
1	305
0	678
1	326
0	669
1	307
0	670
1	326
0	675
1	670
0	325
1	669
0	307
1	690
0	306
1	319
0	669
1	689
0	306
1	671
0	325
1	307
0	676
1	305
0	688
1	669
0	326
1	666
0	308
1	5609
0	2339
1	1631
0	345
1	286
0	689
1	305
0	689
1	651
0	351
1	649
0	344
1	269
0	707
1	652
0	344
1	296
0	687
1	287
0	709
1	286
0	707
1	639
0	344
1	650
0	344
1	287
0	711
1	638
0	350
1	650
0	344
1	287
0	706
1	266
0	713
1	651
0	342
1	289
0	707
1	268
0	707
1	295
0	710
1	633
0	346
1	287
0	709
1	288
0	695
1	287
0	708
1	650
0	345
1	287
0	704
1	287
0	706
1	286
0	708
1	269
0	708
1	295
0	690
1	652
0	343
1	651
0	344
1	645
0	353
1	269
0	712
1	652
0	344
1	636
0	346
1	288
0	690
1	303
0	708
1	633
0	350
1	648
0	344
1	649
0	19
1	4907
0	2372
1	1611
0	345
1	266
0	726
1	267
0	714
1	650
0	351
1	633
0	346
1	287
0	708
1	639
0	344
1	287
0	709
1	286
0	706
1	285
0	695
1	653
0	345
1	652
0	325
1	289
0	699
1	651
0	346
1	649
0	345
1	285
0	708
1	293
0	687
1	651
0	344
1	287
0	707
1	288
0	690
1	307
0	691
1	651
0	347
1	287
0	697
1	287
0	696
1	305
0	688
1	650
0	331
1	307
0	687
1	305
0	688
1	306
0	688
1	293
0	690
1	305
0	690
1	653
0	344
1	659
0	325
1	653
0	347
1	287
0	688
1	672
0	333
1	652
0	326
1	307
0	687
1	305
0	688
1	660
0	326
1	658
0	328
1	5601
0	2335
1	1633
0	327
1	306
0	688
1	287
0	713
1	651
0	325
1	670
0	323
